pdf,page,index,source,side_pt,native_width,native_height,trimmed,detector_score,texture,x0,y0,x1,y1
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,412,0,embedded,153.6,1280,1264,True,1.0,0.7909,42.25,48.96,195.85,200.64
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,418,0,embedded,155.52,1296,1264,True,0.8057,0.724,39.37,415.67,194.89,567.35
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,424,0,embedded,153.6,1280,1264,True,1.0,0.8214,243.85,48.96,397.45,200.64
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,424,1,embedded,153.6,1280,1256,True,1.0,0.7257,243.85,335.03,397.45,485.75
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,430,0,embedded,152.64,1272,1264,True,1.0,0.8136,43.21,97.92,195.85,249.6
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,436,0,embedded,153.6,1280,1256,True,1.0,0.7923,43.21,48.95,196.81,199.67
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,442,0,embedded,153.6,1280,1256,True,1.0,0.7238,243.85,233.28,397.45,384.0
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,448,0,embedded,153.6,1280,1256,True,1.0,0.8725,43.21,48.95,196.81,199.67
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,453,0,embedded,153.6,1280,1264,True,1.0,0.7839,243.85,174.71,397.45,326.39
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,459,0,embedded,152.64,1272,1264,True,1.0,0.689,45.13,364.8,197.77,516.48
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,459,1,embedded,153.6,1280,1264,True,1.0,0.7724,244.81,445.44,398.41,597.12
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,465,0,embedded,153.6,1280,1264,True,1.0,0.818,243.25,151.31,396.85,302.99
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,471,0,embedded,152.64,1272,1256,True,1.0,0.8856,45.13,155.51,197.77,306.23
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,471,1,embedded,153.6,1280,1264,True,1.0,0.8942,243.85,50.87,397.45,202.55
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,477,0,embedded,151.68,1264,1264,True,1.0,0.7522,45.13,175.67,196.81,327.35
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,477,1,embedded,153.6,1280,1256,True,1.0,0.8089,243.85,134.39,397.45,285.11
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,483,0,embedded,151.68,1264,1264,True,1.0,0.8198,45.13,50.87,196.81,202.55
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,483,1,embedded,153.6,1280,1256,True,1.0,0.8456,244.81,423.36,398.41,574.08
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,512,0,embedded,152.64,1272,1264,True,1.0,0.8619,44.17,363.84,196.81,515.52
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,518,0,embedded,152.64,1272,1256,True,1.0,0.903,42.25,153.59,194.89,304.31
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,518,1,embedded,154.56,1288,1256,True,1.0,0.8273,241.93,180.47,396.49,331.19
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,524,0,embedded,153.6,1280,1256,True,1.0,0.8662,243.85,443.52,397.45,594.24
