pdf,page,index,source,side_pt,native_width,native_height,trimmed,detector_score,texture,x0,y0,x1,y1
"1001_Winning_Chess_Sacrifices_and_Combinations,_Fred_Reinfeld,_Bruce.pdf",225,0,embedded,280.5,350,350,True,1.0,0.5463,165.75,144.75,446.25,425.25
"1001_Winning_Chess_Sacrifices_and_Combinations,_Fred_Reinfeld,_Bruce.pdf",270,0,embedded,280.5,350,350,True,1.0,0.6684,165.75,144.75,446.25,425.25
"1001_Winning_Chess_Sacrifices_and_Combinations,_Fred_Reinfeld,_Bruce.pdf",315,0,embedded,280.5,350,350,True,1.0,0.575,165.75,144.75,446.25,425.25
"1001_Winning_Chess_Sacrifices_and_Combinations,_Fred_Reinfeld,_Bruce.pdf",360,0,embedded,280.5,350,350,True,1.0,0.5936,165.75,144.75,446.25,425.25
"1001_Winning_Chess_Sacrifices_and_Combinations,_Fred_Reinfeld,_Bruce.pdf",405,0,embedded,280.5,350,350,True,1.0,0.5212,165.75,144.75,446.25,425.25
"1001_Winning_Chess_Sacrifices_and_Combinations,_Fred_Reinfeld,_Bruce.pdf",449,0,embedded,280.5,350,350,True,1.0,0.571,165.75,144.75,446.25,425.25
"1001_Winning_Chess_Sacrifices_and_Combinations,_Fred_Reinfeld,_Bruce.pdf",494,0,embedded,280.5,350,350,True,1.0,0.5879,165.75,144.75,446.25,425.25
"1001_Winning_Chess_Sacrifices_and_Combinations,_Fred_Reinfeld,_Bruce.pdf",539,0,embedded,280.5,350,350,True,1.0,0.6017,165.75,144.75,446.25,425.25
"1001_Winning_Chess_Sacrifices_and_Combinations,_Fred_Reinfeld,_Bruce.pdf",584,0,embedded,280.5,350,350,True,1.0,0.559,165.75,144.75,446.25,425.25
"1001_Winning_Chess_Sacrifices_and_Combinations,_Fred_Reinfeld,_Bruce.pdf",629,0,embedded,280.5,350,350,True,1.0,0.6878,165.75,144.75,446.25,425.25
"1001_Winning_Chess_Sacrifices_and_Combinations,_Fred_Reinfeld,_Bruce.pdf",674,0,embedded,280.5,350,350,True,1.0,0.6766,165.75,144.75,446.25,425.25
"1001_Winning_Chess_Sacrifices_and_Combinations,_Fred_Reinfeld,_Bruce.pdf",718,0,embedded,280.5,350,350,True,1.0,0.5549,165.75,144.75,446.25,425.25
"1001_Winning_Chess_Sacrifices_and_Combinations,_Fred_Reinfeld,_Bruce.pdf",763,0,embedded,280.5,350,350,True,1.0,0.6212,165.75,144.75,446.25,425.25
"1001_Winning_Chess_Sacrifices_and_Combinations,_Fred_Reinfeld,_Bruce.pdf",808,0,embedded,280.5,350,350,True,1.0,0.6634,165.75,144.75,446.25,425.25
"1001_Winning_Chess_Sacrifices_and_Combinations,_Fred_Reinfeld,_Bruce.pdf",853,0,embedded,280.5,350,350,True,1.0,0.6242,165.75,144.75,446.25,425.25
